,Close,compound,negative,neutral,positive,Open,High,Low,Volume
2014-09-29,99.620003,-0.9979,0.118,0.773,0.109,100.589996,100.690002,98.040001,142718700.0
2014-10-06,100.730003,-0.9988,0.114,0.787,0.099,99.949997,102.379997,98.309998,280258200.0
2014-10-13,97.66999799999999,-0.8417,0.108,0.783,0.109,101.33000200000001,101.779999,95.18,358539800.0
2014-10-20,105.220001,0.9997,0.092,0.78,0.129,98.32,105.489998,98.220001,358532900.0
2014-10-27,108.0,-0.9928,0.118,0.768,0.114,104.849998,108.040001,104.699997,220230600.0
2014-11-03,109.010002,-0.9985,0.13,0.748,0.122,108.220001,110.300003,107.720001,199952900.0
2014-11-10,114.18,0.7842,0.108,0.78,0.112,109.019997,114.190002,108.400002,205166700.0
2014-11-17,116.470001,-0.9994,0.129,0.765,0.106,114.269997,117.57,113.300003,233414700.0
2014-11-24,118.93,-0.9994,0.125,0.768,0.106,116.849998,119.75,116.620003,181873900.0
2014-12-01,115.0,-0.9954,0.113,0.78,0.107,118.809998,119.25,111.269997,266589700.0
2014-12-08,109.730003,-0.9953,0.11,0.781,0.109,114.099998,114.849998,109.349998,259868000.0
2014-12-15,111.779999,-0.9997,0.138,0.755,0.107,110.699997,113.239998,106.260002,328856600.0
2014-12-22,113.989998,-0.9974,0.122,0.766,0.112,112.160004,114.519997,111.970001,119396500.0
2014-12-29,109.33000200000001,-0.9996,0.123,0.783,0.094,113.790001,114.769997,107.349998,152088400.0
2015-01-05,112.010002,-0.9972,0.117,0.776,0.107,108.290001,113.25,104.629997,283252500.0
2015-01-12,105.989998,0.9977,0.1,0.784,0.116,112.599998,112.800003,105.199997,303607000.0
2015-01-19,112.980003,-0.9967,0.099,0.816,0.086,107.839996,113.75,106.5,198737000.0
2015-01-26,117.160004,0.9982,0.089,0.802,0.109,113.739998,120.0,109.029999,465842700.0
2015-02-02,118.93,0.9997,0.093,0.773,0.134,118.050003,120.510002,116.08000200000001,270757300.0
2015-02-09,127.08000200000001,0.5548,0.127,0.743,0.131,118.550003,127.480003,118.43,303206800.0
2015-02-16,129.5,-0.9971,0.122,0.768,0.11,127.489998,129.5,126.91999799999999,194354900.0
2015-02-23,128.46000700000002,0.9999,0.093,0.749,0.158,130.020004,133.600006,126.610001,368216200.0
2015-03-02,126.599998,-0.7723,0.108,0.782,0.11,129.25,130.279999,125.760002,246938500.0
2015-03-09,123.589996,0.9955,0.102,0.783,0.115,127.959999,129.570007,121.629997,326514100.0
2015-03-16,125.900002,-0.9973,0.129,0.752,0.119,123.879997,129.25,122.870003,266672900.0
2015-03-23,123.25,-0.9993,0.106,0.811,0.082,127.120003,128.03999299999998,122.599998,209326300.0
2015-03-30,125.32,-0.9972,0.111,0.785,0.104,124.050003,126.489998,123.099998,162031800.0
2015-04-06,127.099998,-0.9971,0.113,0.789,0.099,124.470001,128.119995,124.33000200000001,182207500.0
2015-04-13,124.75,-0.999,0.122,0.766,0.112,128.369995,128.570007,124.459999,171186100.0
2015-04-20,130.279999,-0.9875,0.113,0.779,0.108,125.57,130.630005,125.16999799999999,207440700.0
